mod,nivel,n_runs,rata_livrare_mean,rata_livrare_sd,throughput_publicare_mean,throughput_publicare_sd,latenta_medie_ok_mean,latenta_medie_ok_sd,p50_ok_mean,p50_ok_sd,p95_ok_mean,p95_ok_sd,p99_ok_mean,p99_ok_sd
insecure,1,3,1.000,0.000,127.767,6.306,2.573,0.242,2.480,0.234,3.150,0.417,3.750,0.297
insecure,5,3,1.000,0.000,567.600,96.936,3.253,0.760,3.057,0.699,4.583,1.195,5.943,0.700
insecure,10,3,1.000,0.000,816.967,84.862,5.213,0.671,4.993,0.635,8.010,1.876,10.473,1.639
insecure,20,3,1.000,0.000,796.000,75.702,16.703,1.587,15.667,0.560,32.983,4.591,42.500,11.632
insecure,50,3,1.000,0.000,887.133,30.111,38.940,1.326,31.637,1.787,103.027,6.899,142.533,20.193
secure,1,3,1.000,0.000,77.833,2.285,7.163,0.266,7.083,0.275,7.927,0.327,9.350,0.455
secure,5,3,1.000,0.000,364.933,18.022,7.860,0.403,7.630,0.435,9.730,0.521,11.780,0.233
secure,10,3,1.000,0.000,469.100,58.659,12.537,1.528,12.200,1.598,16.750,1.591,19.367,2.727
secure,20,3,1.000,0.000,567.700,57.158,22.133,2.500,21.103,2.348,34.607,4.425,45.700,6.477
secure,50,3,1.000,0.000,596.833,13.283,49.453,9.746,36.867,4.750,124.817,33.990,200.470,63.054
