mod,nivel,n_runs,rata_livrare_mean,rata_livrare_sd,throughput_publicare_mean,throughput_publicare_sd,latenta_medie_ok_mean,latenta_medie_ok_sd,p50_ok_mean,p50_ok_sd,p95_ok_mean,p95_ok_sd,p99_ok_mean,p99_ok_sd
insecure,1,5,1.000,0.000,115.300,20.336,3.534,1.710,3.448,1.680,4.288,2.127,5.148,2.465
insecure,5,5,1.000,0.000,510.060,116.509,4.186,1.782,3.896,1.580,6.158,3.020,7.410,3.177
insecure,10,5,1.000,0.000,709.320,174.250,7.424,3.801,7.088,3.646,11.082,5.221,13.884,5.434
insecure,20,5,1.000,0.000,685.260,162.187,21.162,6.560,19.740,6.138,44.356,16.064,54.858,19.180
insecure,50,5,1.000,0.000,775.020,162.453,48.562,14.552,37.332,8.910,126.960,35.127,186.014,62.506
insecure_control,1,5,1.000,0.000,104.860,16.403,4.154,1.714,4.108,1.712,4.930,2.146,6.276,2.376
insecure_control,50,5,1.000,0.000,586.020,152.037,68.456,24.828,48.086,15.813,204.074,72.582,265.460,77.271
secure,1,5,1.000,0.000,71.820,10.200,8.402,2.276,8.294,2.220,9.374,2.854,11.010,2.851
secure,5,5,1.000,0.000,327.040,58.079,9.354,2.466,9.122,2.492,11.792,3.216,13.748,3.219
secure,10,5,1.000,0.000,435.480,76.050,14.284,3.543,13.750,3.270,20.350,6.546,24.848,9.952
secure,20,5,1.000,0.000,491.640,120.950,27.698,9.259,26.224,8.248,45.226,17.465,59.178,22.110
secure,50,5,1.000,0.000,515.720,124.506,66.100,27.934,47.612,18.475,171.588,72.734,237.478,75.784
