mod,rep,nivel,cereri_trimise,publicare_reusite,publicare_esuate,livrate,rata_livrare,throughput_publicare,latenta_medie_ok,p50_ok,p95_ok,p99_ok
insecure,1,1,200,200,0,200,1.000,82.3,6.50,6.34,8.00,9.42
insecure,1,5,200,200,0,200,1.000,350.7,7.17,6.52,11.26,13.02
insecure,1,10,200,200,0,200,1.000,447.5,13.92,13.35,19.64,22.57
insecure,1,20,200,200,0,200,1.000,489.3,30.85,29.43,64.58,78.66
insecure,1,50,200,200,0,200,1.000,538.0,71.63,51.70,179.36,269.03
insecure,2,1,200,200,0,200,1.000,110.9,3.45,3.46,3.99,5.07
insecure,2,5,200,200,0,200,1.000,496.8,4.00,3.79,5.78,6.20
insecure,2,10,200,200,0,200,1.000,648.2,7.56,7.11,11.74,15.43
insecure,2,20,200,200,0,200,1.000,549.0,24.85,22.27,58.25,68.13
insecure,2,50,200,200,0,200,1.000,675.7,54.36,40.05,146.36,233.44
insecure,3,1,200,200,0,200,1.000,120.5,2.85,2.75,3.59,3.96
insecure,3,5,200,200,0,200,1.000,465.8,4.11,3.85,5.91,6.73
insecure,3,10,200,200,0,200,1.000,797.1,5.48,5.36,7.83,9.75
insecure,3,20,200,200,0,200,1.000,724.5,18.37,16.31,37.13,53.09
insecure,3,50,200,200,0,200,1.000,855.0,40.02,31.35,110.99,158.88
insecure,4,1,200,200,0,200,1.000,131.0,2.47,2.35,3.10,3.88
insecure,4,5,200,200,0,200,1.000,658.8,2.66,2.53,3.59,5.71
insecure,4,10,200,200,0,200,1.000,910.0,4.45,4.26,6.23,9.32
insecure,4,20,200,200,0,200,1.000,875.3,15.21,15.40,28.05,30.05
insecure,4,50,200,200,0,200,1.000,891.7,39.34,33.55,98.84,119.96
insecure,5,1,200,200,0,200,1.000,131.8,2.40,2.34,2.76,3.41
insecure,5,5,200,200,0,200,1.000,578.2,2.99,2.79,4.25,5.39
insecure,5,10,200,200,0,200,1.000,743.8,5.71,5.36,9.97,12.35
insecure,5,20,200,200,0,200,1.000,788.2,16.53,15.29,33.77,44.36
insecure,5,50,200,200,0,200,1.000,914.7,37.46,30.01,99.25,148.76
secure,1,1,200,200,0,200,1.000,54.6,12.39,12.18,14.43,15.89
secure,1,5,200,200,0,200,1.000,238.0,13.50,13.33,17.00,19.18
secure,1,10,200,200,0,200,1.000,322.7,20.27,19.21,31.63,41.90
secure,1,20,200,200,0,200,1.000,312.0,43.05,39.58,74.10,95.35
secure,1,50,200,200,0,200,1.000,315.6,111.72,78.80,276.70,341.72
secure,2,1,200,200,0,200,1.000,71.0,8.13,8.04,8.66,11.11
secure,2,5,200,200,0,200,1.000,302.4,9.69,9.39,12.77,14.22
secure,2,10,200,200,0,200,1.000,447.4,13.54,12.94,19.87,24.24
secure,2,20,200,200,0,200,1.000,443.1,29.04,28.23,48.21,63.44
secure,2,50,200,200,0,200,1.000,472.5,70.42,48.66,206.79,244.26
secure,3,1,200,200,0,200,1.000,75.2,7.47,7.40,8.30,9.85
secure,3,5,200,200,0,200,1.000,357.4,8.03,7.84,10.07,11.57
secure,3,10,200,200,0,200,1.000,456.9,12.93,12.60,17.05,21.87
secure,3,20,200,200,0,200,1.000,501.8,24.85,23.73,38.53,52.56
secure,3,50,200,200,0,200,1.000,581.6,55.12,36.86,155.02,265.91
secure,4,1,200,200,0,200,1.000,79.3,6.99,6.91,7.79,8.96
secure,4,5,200,200,0,200,1.000,385.5,7.40,7.13,9.13,12.03
secure,4,10,200,200,0,200,1.000,532.9,10.85,10.44,15.03,16.46
secure,4,20,200,200,0,200,1.000,597.5,21.62,20.37,35.48,44.85
secure,4,50,200,200,0,200,1.000,606.0,55.04,41.62,131.42,195.39
secure,5,1,200,200,0,200,1.000,79.0,7.03,6.94,7.69,9.24
secure,5,5,200,200,0,200,1.000,351.9,8.15,7.92,9.99,11.74
secure,5,10,200,200,0,200,1.000,417.5,13.83,13.56,18.17,19.77
secure,5,20,200,200,0,200,1.000,603.8,19.93,19.21,29.81,39.69
secure,5,50,200,200,0,200,1.000,602.9,38.20,32.12,88.01,140.11
insecure_control,1,1,200,200,0,200,1.000,77.6,7.13,7.08,8.69,10.18
insecure_control,1,50,200,200,0,200,1.000,357.6,110.11,70.23,324.62,400.96
insecure_control,2,1,200,200,0,200,1.000,104.2,4.01,3.95,4.62,6.32
insecure_control,2,50,200,200,0,200,1.000,552.5,68.06,56.44,180.38,243.60
insecure_control,3,1,200,200,0,200,1.000,109.0,3.51,3.47,4.03,6.13
insecure_control,3,50,200,200,0,200,1.000,583.3,64.34,44.64,212.63,246.17
insecure_control,4,1,200,200,0,200,1.000,112.7,3.25,3.24,3.90,4.59
insecure_control,4,50,200,200,0,200,1.000,672.9,53.33,40.14,164.62,228.82
insecure_control,5,1,200,200,0,200,1.000,120.8,2.87,2.80,3.41,4.16
insecure_control,5,50,200,200,0,200,1.000,763.8,46.44,28.98,138.12,207.75
