mod,nivel,n_runs,rata_livrare_e2e_mean,rata_livrare_e2e_sd,throughput_post_rps_mean,throughput_post_rps_sd,lat_cumulata_medie_ms_mean,lat_cumulata_medie_ms_sd,p50_ms_mean,p50_ms_sd,p95_ms_mean,p95_ms_sd,p99_ms_mean,p99_ms_sd,orient_hop1_ms_mean,orient_hop1_ms_sd,orient_hop2_ms_mean,orient_hop2_ms_sd
insecure,1,3,1.000,0.000,95.833,9.272,11.023,1.235,11.000,1.000,13.333,2.082,14.673,1.517,7.900,0.755,3.067,0.451
insecure,5,3,1.000,0.000,315.233,50.750,15.973,2.067,15.667,2.082,21.000,2.646,22.670,2.087,11.833,1.704,4.100,0.361
insecure,10,3,1.000,0.000,443.867,58.952,27.940,7.097,26.333,6.110,43.717,13.656,51.017,16.523,23.400,6.484,4.433,0.666
insecure,20,5,1.000,0.000,191.460,4.394,390.516,34.456,418.100,41.913,608.090,38.108,673.044,45.809,260.040,19.384,130.240,15.152
insecure,50,5,1.000,0.000,231.720,10.797,301.918,35.575,274.700,49.843,657.950,70.189,848.980,92.816,249.040,19.307,52.700,17.820
secure,1,3,1.000,0.000,64.067,0.513,15.910,0.260,15.667,0.577,17.700,0.563,22.353,2.501,12.667,0.115,3.233,0.153
secure,5,3,1.000,0.000,238.067,18.780,21.697,1.629,20.667,1.155,29.667,4.041,34.673,6.422,17.333,1.305,4.300,0.265
secure,10,3,1.000,0.000,291.133,37.161,33.900,3.683,32.333,3.786,49.383,6.437,58.360,8.066,28.600,3.205,5.133,0.404
secure,20,5,1.000,0.000,125.760,6.193,436.724,58.459,443.600,69.281,708.380,67.943,773.974,72.240,310.600,31.919,125.740,27.590
secure,50,5,1.000,0.000,151.560,14.126,347.786,23.477,280.100,40.394,854.180,102.788,1114.082,137.186,318.180,9.987,29.380,18.662
