mod,nivel,n_runs,rata_livrare_e2e_mean,rata_livrare_e2e_sd,throughput_post_rps_mean,throughput_post_rps_sd,lat_cumulata_medie_ms_mean,lat_cumulata_medie_ms_sd,p50_ms_mean,p50_ms_sd,p95_ms_mean,p95_ms_sd,p99_ms_mean,p99_ms_sd,orient_hop1_ms_mean,orient_hop1_ms_sd,orient_hop2_ms_mean,orient_hop2_ms_sd
insecure,1,5,1.000,0.000,87.500,13.432,12.916,3.049,12.800,2.775,15.400,3.647,17.408,4.619,8.960,1.686,3.900,1.362
insecure,5,5,1.000,0.000,281.660,70.652,19.294,6.377,18.800,5.975,25.610,9.419,28.210,10.717,14.120,4.552,5.100,1.794
insecure,10,5,1.000,0.000,393.540,81.043,57.462,52.423,56.500,56.298,93.090,83.117,109.842,95.997,41.960,31.578,15.380,21.105
insecure,20,5,1.000,0.000,191.460,4.394,390.516,34.456,418.100,41.913,608.090,38.108,673.044,45.809,260.040,19.384,130.240,15.152
insecure,50,5,1.000,0.000,231.720,10.797,301.918,35.575,274.700,49.843,657.950,70.189,848.980,92.816,249.040,19.307,52.700,17.820
secure,1,5,1.000,0.000,60.400,6.493,17.978,3.803,17.600,3.647,20.620,5.352,24.624,5.014,13.820,2.145,4.100,1.595
secure,5,5,1.000,0.000,212.800,44.213,26.134,8.188,24.900,7.553,37.210,14.364,43.212,17.870,20.540,6.008,5.520,2.130
secure,10,5,1.000,0.000,252.000,60.825,41.710,12.941,40.200,12.795,60.040,18.221,70.624,19.976,35.000,10.600,6.500,2.262
secure,20,5,1.000,0.000,125.760,6.193,436.724,58.459,443.600,69.281,708.380,67.943,773.974,72.240,310.600,31.919,125.740,27.590
secure,50,5,1.000,0.000,151.560,14.126,347.786,23.477,280.100,40.394,854.180,102.788,1114.082,137.186,318.180,9.987,29.380,18.662
