mod,rep,nivel,cereri_trimise,cereri_reusite_post,verdicte_ajunse,rata_livrare_e2e,throughput_post_rps,lat_cumulata_medie_ms,p50_ms,p95_ms,p99_ms,orient_hop1_ms,orient_hop2_ms
insecure,1,1,200,200,200,1.000,71.2,17.66,17.00,21.00,25.02,11.5,6.1
insecure,1,5,200,200,200,1.000,174.9,30.25,29.00,42.05,47.02,21.9,8.2
insecure,1,10,200,200,200,1.000,305.3,148.41,155.50,234.15,270.06,95.5,52.8
insecure,2,1,200,200,200,1.000,78.8,13.85,14.00,16.00,18.00,9.6,4.2
insecure,2,5,200,200,200,1.000,287.7,18.30,18.00,23.00,26.02,13.2,5.0
insecure,2,10,200,200,200,1.000,330.8,55.08,48.00,100.15,126.10,44.1,10.8
insecure,3,1,200,200,200,1.000,94.5,11.15,11.00,14.00,15.00,8.0,3.1
insecure,3,5,200,200,200,1.000,352.8,14.75,15.00,19.00,21.00,10.8,4.0
insecure,3,10,200,200,200,1.000,386.4,26.95,25.00,42.00,52.03,22.2,4.6
insecure,4,1,200,200,200,1.000,87.3,12.19,12.00,15.00,16.00,8.6,3.5
insecure,4,5,200,200,200,1.000,257.5,18.36,18.00,24.00,25.01,13.8,4.5
insecure,4,10,200,200,200,1.000,441.0,35.48,33.00,58.15,67.01,30.4,5.0
insecure,5,1,200,200,200,1.000,105.7,9.73,10.00,11.00,13.02,7.1,2.6
insecure,5,5,200,200,200,1.000,335.4,14.81,14.00,20.00,22.00,10.9,3.8
insecure,5,10,200,200,200,1.000,504.2,21.39,21.00,31.00,34.01,17.6,3.7
secure,1,1,200,200,200,1.000,49.1,24.66,24.00,30.00,33.00,17.6,6.9
secure,1,5,200,200,200,1.000,140.8,40.38,38.00,62.05,74.02,31.0,9.2
secure,1,10,200,200,200,1.000,176.7,63.05,61.00,90.05,102.02,52.4,10.3
secure,2,1,200,200,200,1.000,60.7,17.50,17.00,20.00,23.06,13.5,3.9
secure,2,5,200,200,200,1.000,209.0,25.20,24.50,35.00,38.02,19.7,5.5
secure,2,10,200,200,200,1.000,209.9,43.80,43.00,62.00,76.02,36.8,6.8
secure,3,1,200,200,200,1.000,63.5,16.21,16.00,18.00,22.03,12.8,3.4
secure,3,5,200,200,200,1.000,254.7,20.49,20.00,26.00,30.02,16.3,4.2
secure,3,10,200,200,200,1.000,262.4,36.15,35.00,52.00,57.00,30.4,5.5
secure,4,1,200,200,200,1.000,64.5,15.77,16.00,17.05,20.03,12.6,3.2
secure,4,5,200,200,200,1.000,217.7,23.55,22.00,34.00,42.00,18.8,4.6
secure,4,10,200,200,200,1.000,277.9,35.90,34.00,54.10,67.02,30.5,5.2
secure,5,1,200,200,200,1.000,64.2,15.75,15.00,18.05,25.00,12.6,3.1
secure,5,5,200,200,200,1.000,241.8,21.05,20.00,29.00,32.00,16.9,4.1
secure,5,10,200,200,200,1.000,333.1,29.65,28.00,42.05,51.06,24.9,4.7
insecure,1,20,200,200,200,1.000,192.5,377.89,412.50,582.00,625.30,251.5,126.1
insecure,1,50,200,200,200,1.000,231.4,328.14,309.00,756.85,940.36,265.5,62.5
secure,1,20,200,200,200,1.000,128.1,424.67,428.50,697.25,737.30,301.1,123.1
secure,1,50,200,200,200,1.000,161.3,329.21,257.50,786.15,1121.38,302.5,26.5
secure,2,20,200,200,200,1.000,117.2,490.41,507.00,795.05,889.19,347.8,142.2
secure,2,50,200,200,200,1.000,137.6,338.50,251.00,990.70,1230.16,325.3,12.9
insecure,2,20,200,200,200,1.000,192.3,414.48,445.50,624.15,675.01,272.5,141.7
insecure,2,50,200,200,200,1.000,235.1,272.41,245.50,630.05,787.06,226.7,45.5
insecure,3,20,200,200,200,1.000,192.8,391.17,428.50,596.10,641.06,260.5,130.5
insecure,3,50,200,200,200,1.000,213.6,273.21,218.00,645.10,855.09,241.4,31.7
secure,3,20,200,200,200,1.000,130.1,476.11,498.50,737.10,783.25,327.5,148.3
secure,3,50,200,200,200,1.000,139.9,345.17,297.50,739.50,936.37,321.9,23.1
secure,4,20,200,200,200,1.000,131.9,450.11,449.50,704.05,764.07,314.0,135.8
secure,4,50,200,200,200,1.000,170.6,388.54,343.50,828.40,1021.47,326.8,61.5
insecure,4,20,200,200,200,1.000,184.0,428.92,455.00,666.45,744.05,283.0,145.7
insecure,4,50,200,200,200,1.000,241.8,350.84,341.50,689.25,935.13,272.7,77.9
insecure,5,20,200,200,200,1.000,195.7,340.12,349.00,571.75,679.80,232.7,107.2
insecure,5,50,200,200,200,1.000,236.7,284.99,259.50,568.50,727.26,238.9,45.9
secure,5,20,200,200,200,1.000,121.5,342.32,334.50,608.45,696.06,262.6,79.3
secure,5,50,200,200,200,1.000,148.4,337.51,251.00,926.15,1261.03,314.4,22.9
