mod,rep,nivel,cereri_trimise,publicare_reusite,publicare_esuate,livrate,rata_livrare,throughput_publicare,latenta_medie_ok,p50_ok,p95_ok,p99_ok
insecure,1,20,200,200,0,200,1.000,269.7,62.33,67.13,110.58,142.23
insecure,1,50,200,200,0,200,1.000,327.8,123.75,90.63,384.53,563.95
secure,1,20,200,200,0,200,1.000,181.8,92.56,83.52,193.40,275.23
secure,1,50,200,200,0,200,1.000,247.2,167.57,125.83,466.34,559.37
secure,2,20,200,200,0,200,1.000,171.7,98.29,95.31,178.36,229.37
secure,2,50,200,200,0,200,1.000,238.3,173.00,129.58,455.89,609.12
insecure,2,20,200,200,0,200,1.000,264.4,65.08,63.19,127.15,186.07
insecure,2,50,200,200,0,200,1.000,345.8,117.31,87.31,322.80,473.88
insecure,3,20,200,200,0,200,1.000,289.1,58.40,54.84,119.10,144.96
insecure,3,50,200,200,0,200,1.000,349.9,115.24,81.20,354.53,431.99
secure,3,20,200,200,0,200,1.000,179.2,95.14,94.01,174.45,242.79
secure,3,50,200,200,0,200,1.000,248.9,164.31,120.07,510.43,552.41
secure,4,20,200,200,0,200,1.000,181.1,93.09,89.49,201.90,245.67
secure,4,50,200,200,0,200,1.000,233.1,171.98,95.84,575.84,758.56
insecure,4,20,200,200,0,200,1.000,265.1,64.28,62.80,121.34,175.85
insecure,4,50,200,200,0,200,1.000,322.5,126.89,99.12,392.72,483.43
insecure,5,20,200,200,0,200,1.000,260.6,65.26,62.96,122.13,145.42
insecure,5,50,200,200,0,200,1.000,340.3,119.37,89.97,373.74,511.92
secure,5,20,200,200,0,200,1.000,184.6,92.11,75.53,213.48,260.53
secure,5,50,200,200,0,200,1.000,230.3,173.46,147.72,522.04,682.48
